"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C7,C14,C12,C13,C15,C1,C3,C16,C2";"C_0805_2012Metric";9;"C_0805_0.1uf";;;
2;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
3;"R11,R5,R12,R13,R7,R2,R14,R6,R8";"R_0805_2012Metric";9;"R_0805_10K";;;
4;"D3,D4,D5,D2";"KWM-30881CVB";4;"KWM-30881CVB";;;
5;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
6;"SW2,SW5,SW3,SW4,SW1";"SW_SPST_Omron_B3FS-100xP";5;"Omron_B3F_SPST";;;
7;"C5,C4";"C_0805_2012Metric";2;"C_0805_22pf";;;
8;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
9;"C10,C8,C9,C11";"C_0805_2012Metric";4;"C_0805_10uf";;;
10;"U3";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
11;"J4";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
12;"U6,U7,U4,U5";"DIP-24_W7.62mm";4;"MAX7219";;;
13;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
14;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
15;"R3,R4";"R_0805_2012Metric";2;"R_0805_47";;;
16;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
17;"U8";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ADT7410";;;
18;"R1";"R_0805_2012Metric";1;"R_0805_2.2K";;;
19;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
20;"R9,R10";"R_0805_2012Metric";2;"R_0805_4.7K";;;
21;"U2";"TO-252-2";1;"L7805";;;
22;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
23;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
24;"C6";"C_0805_2012Metric";1;"C_0805_1uf";;;
25;"REF**1";"Wurth-694106402002";1;"Power_inlet_vertical";;;
